Company Name,Industry,Open_price,High_price,Low_price,Price_Range,Last_Traded_Price,Share_Volume,Value_Indian_Rupees,52 _Week_High,52 _Week_Low,365 Day Percentage Change,30 Day Percentage Change,Potential_Growth %,Risk %,Momentum_Score,Investment_Score
GMM Pfaudler Ltd.,Capital Goods,4355,4372,4300.05,71.95,4330,14737,64042138.79,5295,3770,7.22,3.63,22.29,12.93,6.14,28.43
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,1505,1527,1499,28,1499,54631,82318537.11,1918.75,1450,0.17,0.8,28,3.27,0.36,28.36
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,525.5,532.55,513,19.55,529,228073,119282179,576,377.3,24.42,4.51,8.88,28.68,18.45,27.33
Jyothy Labs Ltd.,Fast Moving Consumer Goods,148.35,152.5,147.5,5,150,771549,115686057.1,187.3,130.15,3.33,0.44,24.87,13.23,2.46,27.33
UFLEX Ltd.,Capital Goods,580.6,583,568.05,14.95,579,59052,34016314.08,719,427,2.08,5.34,24.18,26.25,3.06,27.24
Blue Dart Express Ltd.,Services,7850,7877,7730.1,146.9,7765.55,16566,129401664.5,7880,5306.5,34.59,4.17,1.47,31.67,25.46,26.94
Praj Industries Ltd.,Capital Goods,364.9,364.9,357.4,7.5,358.5,207864,74752051.68,448,289.05,0,6.17,24.97,19.37,1.85,26.82
SJVN Ltd.,Power,26.8,27.55,26.7,0.85,27.4,834442,22588344.94,33.75,25.35,3.58,2.36,23.18,7.48,3.21,26.39
Bajaj Auto Ltd.,Automobile and Auto Components,3667.95,3678.7,3601.1,77.6,3621.7,756589,2746788799,4250,3027.05,10.34,4.08,17.35,16.42,8.46,25.81
Sumitomo Chemical India Ltd.,Chemicals,424.15,425.95,420.95,5,422.75,84550,35780714.5,492,344.25,9.81,8.49,16.38,18.57,9.41,25.79
Ambuja Cements Ltd.,Construction Materials,363.95,368.6,362.1,6.5,367.5,2763265,1011078664,442.5,274,6.56,1.73,20.41,25.44,5.11,25.52
Bosch Ltd.,Automobile and Auto Components,15273,15731.2,15201.55,529.65,15650,71619,1114657346,19250,12932.45,1.36,4.12,23,17.36,2.19,25.19
State Bank of India,Financial Services,463.35,468.8,460.55,8.25,468.5,9405495,4374119505,549,401.25,11.14,0.47,17.18,14.35,7.94,25.12
Mahindra & Mahindra Financial Services Ltd.,Financial Services,176.05,179.7,171.05,8.65,177.2,2173337,380899042.6,206.35,128,11.65,1.63,16.45,27.77,8.64,25.09
SBI Life Insurance Company Ltd.,Financial Services,1085.45,1105.35,1075,30.35,1100.25,696341,760118872.2,1293.25,996.05,7.29,7.88,17.54,9.47,7.47,25.01
ITC Ltd.,Fast Moving Consumer Goods,273.5,285,271.2,13.8,284.75,35165665,9842517977,285,200.9,34.93,1.05,0.09,29.45,24.77,24.85
ACC Ltd.,Construction Materials,2122.95,2174,2122.95,51.05,2171.7,284645,613620612.3,2589,1900,5.32,3.48,19.22,12.51,4.77,23.98
Tata Consultancy Services Ltd.,Information Technology,3260,3333,3252.05,80.95,3331,1502879,4930344847,4043,3023.85,2.35,2.89,21.37,9.22,2.51,23.89
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,13330,13450,13224.6,225.4,13450,23356,311314226,16448.7,12310.1,0.47,3.25,22.3,8.48,1.3,23.6
Cummins India Ltd.,Capital Goods,1016,1030.2,1014,16.2,1030,149758,153313254.9,1162,821.6,13.86,0.17,12.82,20.23,9.75,22.57
Vinati Organics Ltd.,Chemicals,1977,2024.9,1936.7,88.2,1983,40500,80528580,2290,1674.2,8.36,3.2,15.48,15.57,6.81,22.29
Navin Fluorine International Ltd.,Chemicals,3665,3696.85,3557.95,138.9,3675,112850,410425293.5,4329,3202.5,2.6,6.95,17.8,12.86,3.91,21.7
Ashok Leyland Ltd.,Capital Goods,148,149,144.65,4.35,146.4,19976245,2920926544,153.5,93.2,20.55,7.49,4.85,36.34,16.63,21.48
Britannia Industries Ltd.,Fast Moving Consumer Goods,3412,3600,3412,188,3575,292487,1029595188,4153,3050,5.02,4.97,16.17,14.69,5.01,21.17
United Breweries Ltd.,Fast Moving Consumer Goods,1453.8,1509,1440,69,1501.95,174055,256786822.6,1785.8,1274.5,0.45,5.81,18.9,15.14,2.06,20.96
Siemens Ltd.,Capital Goods,2381,2425,2366.3,58.7,2410,208443,502199635.5,2576.85,1920,18.77,1.38,6.92,20.33,13.55,20.48
Cipla Ltd.,Healthcare,911.2,956.05,911.2,44.85,948,1793834,1677593557,1083,850,5.63,7.63,14.24,10.34,6.23,20.47
IIFL Finance Ltd.,Financial Services,323.5,335,317.15,17.85,333.5,526247,172893189.4,396,242.9,0,0.76,18.74,27.17,0.23,18.97
Maruti Suzuki India Ltd.,Automobile and Auto Components,8440,8450,8305.6,144.4,8399.95,530569,4440634385,9050,6536.55,12.7,6.33,7.74,22.18,10.79,18.53
CG Power and Industrial Solutions Ltd.,Capital Goods,192,196.25,188.6,7.65,189.65,928649,178430618.9,219.65,71.7,0,5.33,15.82,62.19,1.6,17.42
Federal Bank Ltd.,Financial Services,90.55,94.35,89.3,5.05,94.05,16073373,1482447192,107.65,77.5,3.56,1.52,14.46,17.6,2.95,17.41
Nestle India Ltd.,Fast Moving Consumer Goods,17400,17829.4,17331.05,498.35,17800,38547,681238432.7,20609.15,16000,0.92,1.25,15.78,10.11,1.02,16.8
Varun Beverages Ltd.,Fast Moving Consumer Goods,790,809,786.2,22.8,790,951574,759584429.8,809,472.67,8.35,25.17,2.41,40.17,13.4,15.8
Great Eastern Shipping Co. Ltd.,Services,395.75,398.9,385,13.9,390.25,120133,46909533.84,445,265,1.74,0.39,14.03,32.09,1.34,15.36
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,2392.55,2442.95,2370,72.95,2389,436503,1045280639,2740,774.95,0,0.21,14.69,67.56,0.06,14.76
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,7748,7900,7525.3,374.7,7680,12790,98846236,8780.05,6793.3,0,1.43,14.32,11.55,0.43,14.75
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,215.3,222.4,214.8,7.6,220.6,2021428,439842518.5,243.55,190.25,3.76,4.23,10.4,13.76,3.9,14.3
Torrent Pharmaceuticals Ltd.,Healthcare,2850,2925,2838.05,86.95,2920,157824,457984730.9,3298.5,2484.15,1.43,0.98,12.96,14.93,1.3,14.26
Hero MotoCorp Ltd.,Automobile and Auto Components,2715,2770,2683.35,86.65,2758.8,393346,1075824911,2968.95,2146.85,6.3,1.95,7.62,22.18,5,12.61
Eicher Motors Ltd.,Automobile and Auto Components,2775,2809.8,2750.4,59.4,2789,367512,1018802066,2994,2159.55,4.61,0.49,7.35,22.57,3.37,10.72
AIA Engineering Ltd.,Capital Goods,2233.8,2242.45,2170.2,72.25,2210,42620,94240491.6,2350,1475.05,3.91,2.37,6.33,33.26,3.45,9.78
Metro Brands Ltd.,Consumer Durables,600,631.25,600,31.25,617.5,582857,359389626.2,673,426,0,0.39,8.99,31.01,0.12,9.1
Coromandel International Ltd.,Chemicals,953,969.5,932.75,36.75,968.05,366177,349230328.4,983.95,709.35,5.8,0.87,1.64,26.72,4.32,5.96
